title,artist,first
"What, Me Worry?",Alfred E. Neuman & His Furshlugginer Five,1996-06-02
It's A Gas,Alfred E. Newman [with brief accidental excerpt beforehand],1986-10-19
I'm Bound For The Promised Land,Alfred G. Karnes,1977-07-24
Psycho movie trailer,Alfred Hitchcock,2011-02-06
Psycho Spot I,Alfred Hitchcock,2022-07-23
Psycho Spot II,Alfred Hitchcock,2013-10-19
Psycho Spot III,Alfred Hitchcock,2014-10-18
Psycho Spot IV,Alfred Hitchcock,2013-10-19
Do The W-2,Alfred Johnson,1986-04-13
The W-2,Alfred Johnson,1988-04-10
School Cafeteria,Alfred Neuman,1977-05-01
Belvedere Cruisin',Alfred Yankovic,1998-06-28
Belvedere Cruisin' '78,Alfred Yankovic,1978-11-12
Belvedere Cruising,Alfred Yankovic,1991-10-13
Do You Feel Like We Do,Alfred Yankovic,1977-09-25
Dr. D Superstar,Alfred Yankovic,1976-03-14
Hit Me With A Rock,Alfred Yankovic,1977-11-27
Mr. Frump And His Iron Lung,Alfred Yankovic,1979-06-17
Mr. Frump In The Iron Lung,Alfred Yankovic,1977-07-24
My Bologna,Alfred Yankovic,1979-09-23
Never Met A Person As Wonderful As Me,Alfred Yankovic,1978-01-29
Never Met A Person Who's As Wonderful As Me,Alfred Yankovic,2022-11-12
Nobody Here But Us Frogs,Alfred Yankovic,1978-01-01
School Cafeteria,Alfred Yankovic,1999-07-11
You Don't Take Your Showers,Alfred Yankovic,1979-07-01
The Beverly Hillbillies Miss You,Alfred Yankovic & Joel Miller,1978-11-12
Cheerios,Alfred Yankovic & Mike Solton,2025-06-21
Take Me Down,"Alfred Yankovic, Tom Walters, Jon Iverson, & Joel Miller",1997-01-19
Caffeine,Alice Cooper,2024-07-13
Cold Ethyl,Alice Cooper,2018-10-27
Keepin' Halloween Alive,Alice Cooper,2015-10-24
School's Out,Alice Cooper,1989-06-11
Welcome to My Nightmare,Alice Cooper,1994-10-23
Go In And Out The Window,Alice Faye,1976-04-25
Boston Beguine,Alice Ghostley,1976-08-15
Creature From The Black Lagoon,Alice Pearce,1979-05-20
Invisible Man,Alice Pearce,2023-02-18
Everybody Has To Have A Mother,Alice Stone,1991-05-12
Everybody's Got To Have A Mother,Alice Stone,1983-05-08
Thomas Cat,Alien Folklife,1999-08-22
Smells Like Camp Granada,Alien Van Sherman,1998-08-02
Smells Like Camp Granada,Alien Von Sherman,1998-04-26
Lake Shore Drive,"Aliotta, Haynes, Jeremiah",1976-02-08
Amy's Answering Service,Alison Arngrim,1978-02-05
The Pact,Alix Elias & Ron Leibman,1989-03-19
Bin Laden Jazz Funeral,All New Genetically Altered Jug Band,2013-06-01
Cicada Cacophony In G Minus,All-New Genetically Altered Jug Band,2021-06-26
We Love You Dr. Demento,Allan Bruner & The Knickers,1979-02-11
Dangerous Occupations/Jewish Law Firms/Salary Scales & Marksmen,Allan Gould & Danny Siegel,1984-01-15
Donkey Serenade,Allan Jones,1977-02-13
A Hanukkah Song,Allan Lieberman,1991-11-17
Along Came Larry,Allan Lieberman,1998-03-22
Mr. Landsman,Allan Lieberman,1991-04-14
Thank God I'm A Jewish Boy,Allan Lieberman,1999-11-28
The Duke,Allan Lieberman,1992-02-09
"8 Foot Two, Solid Blue",Allan Sherman,1975-12-07
A Waste Of Money,Allan Sherman,1986-04-06
Al 'n Yetta,Allan Sherman,2020-10-10
Al & Yetta,Allan Sherman,1976-08-01
America's A Nice Italian Name,Allan Sherman,1992-09-27
An Average Song,Allan Sherman,1999-08-08
Automation,Allan Sherman,1989-01-08
Barry Is The Baby's Name,Allan Sherman,1975-05-25
Beautiful Teamsters,Allan Sherman,1977-09-04
Beethoven's Fifth Symphony,Allan Sherman,1992-03-22
Bye Bye Blumberg,Allan Sherman,2025-05-31
Chim Chim Cheree,Allan Sherman,2018-07-14
Chopped Liver,Allan Sherman,2014-03-22
Christmas '65 (Draft Cards),Allan Sherman,2005-12-04
Crazy Downtown,Allan Sherman,1995-05-07
Dodgin' The Draft,Allan Sherman,1980-01-27
Down The Drain,Allan Sherman,1984-01-15
"Eight Foot Two, Solid Blue",Allan Sherman,1993-11-28
Frank Cooper,Allan Sherman,2013-06-29
"Go To Sleep, Paul Revere!",Allan Sherman,1975-04-13
Good Advice,Allan Sherman,1980-10-26
Green Stamps,Allan Sherman,2016-05-28
"Grow, Mrs. Goldfarb",Allan Sherman,1999-11-14
"Hail To Thee, Fat Person",Allan Sherman,1989-02-12
Harvey And Sheila,Allan Sherman,1999-07-04
Headaches,Allan Sherman,1988-02-21
Hello Muddah - Nevada Style,Allan Sherman,2024-10-05
"Hello Muddah, Hello Fadduh! (A Letter From Camp)",Allan Sherman,1998-04-26
"Hello Mudduh, Hello Fadduh! (A Letter From Camp)",Allan Sherman,1999-07-11
Here's To The Crabgrass,Allan Sherman,2025-03-08
Holiday For States,Allan Sherman,2025-01-18
How Van Nuys Got Its Name,Allan Sherman,2025-05-10
How Van Nuys Got Its Name/Smog Gets In Your Eyes,Allan Sherman,1980-07-27
Hungarian Goulash,Allan Sherman,1991-07-28
Hungarian Goulash #5,Allan Sherman,1980-10-05
Hungarian Goulash No. 5,Allan Sherman,1991-07-28
I Can't Dance,Allan Sherman,1993-02-21
I See Bones,Allan Sherman,1985-07-21
I Was Never A Nazi (And I Never Knew Adolf Hitler),Allan Sherman,2016-02-13
Interview,Allan Sherman,1988-03-27
Introduction - Short Songs: Hello Muddah - Nevada Style,Allan Sherman,1986-07-20
It's A Most Unusual Play,Allan Sherman,2019-05-18
J. C. Cohen,Allan Sherman,1984-05-06
Jake's Song,Allan Sherman,1980-09-28
"Jump Down, Spin Around (Pick A Dress O' Cotton)",Allan Sherman,2021-08-07
Kiss Of Myer,Allan Sherman,2011-08-27
Little Butterball,Allan Sherman,1984-05-06
Lox,Allan Sherman,1987-04-05
Me,Allan Sherman,1980-04-20
Mexican Hat Dance,Allan Sherman,1982-06-27
Mononeucleosis,Allan Sherman,1997-07-27
Mrs. Brown Parody,Allan Sherman,2014-05-03
"My Son, The Vampire",Allan Sherman,1999-10-24
Oh Boy,Allan Sherman,1982-04-04
One Hippopotami,Allan Sherman,1980-07-20
Overweight People,Allan Sherman,2006-01-15
Pills,Allan Sherman,1985-04-21
Pop Hates The Beatles,Allan Sherman,1999-02-07
Rat Fink,Allan Sherman,2020-11-21
Ringo (Ballad Of Ringo Starr),Allan Sherman,2023-05-20
Sarah Jackman,Allan Sherman,1994-07-17
Seltzer Boy,Allan Sherman,1976-09-12
Sex Is Better (The Sexual Revolution Song),Allan Sherman,2016-02-13
Shake Hands With Your Uncle Max,Allan Sherman,1979-01-14
She Wore A Bathing Suit Without A Top,Allan Sherman,2019-06-29
Shine On Harvey Bloom,Allan Sherman,1975-03-09
Shticks Of One And Half A Dozen Of The Other,Allan Sherman,2022-01-08
Sir Greenbaum's Madrigal,Allan Sherman,1980-09-28
Skin,Allan Sherman,2005-07-17
Smart Ass,Allan Sherman,2009-02-15
Smog Gets In Your Eyes,Allan Sherman,1975-07-06
Spanish Flea,Allan Sherman,1979-03-25
Strange Things In My Soup,Allan Sherman,2018-08-04
Summertime,Allan Sherman,2018-07-28
That Old Back Scratcher,Allan Sherman,1979-05-13
The Ballad Of Harry Lewis,Allan Sherman,1988-05-08
The Bronx Birdwatcher,Allan Sherman,1990-11-11
The Continental (The Painless Dentist Song),Allan Sherman,1986-11-16
The Drinking Man's Diet,Allan Sherman,1995-07-23
The Drop-Outs March,Allan Sherman,1984-05-06
The End Of A Symphony,Allan Sherman,1992-03-22
The Fig Leaves Are Falling,Allan Sherman,1987-04-05
The Laarge Daark Aardvark Song,Allan Sherman,1988-02-21
The Let's All Call Up A.T.&T. And Protest To The President March,Allan Sherman,1984-05-06
The Painless Dentist Song,Allan Sherman,1985-02-17
The Twelve Gifts Of Christmas,Allan Sherman,1999-12-12
There Is Nothin' Like A Lox,Allan Sherman,2013-05-25
There's No Governor Like Our New Governor,Allan Sherman,2003-11-02
Variations On  How Dry I Am,Allan Sherman,1976-06-13
Westchester Hadassah,Allan Sherman,1986-12-07
When I Was A Lad,Allan Sherman,1996-11-17
With A Little Bit Of Lox,Allan Sherman,2010-08-07
Won't You Come Home Disraeli,Allan Sherman,1982-07-11
You Need An Analyst,Allan Sherman,1992-02-02
"You Went The Wrong Way, Old King Louie",Allan Sherman,1992-08-23
You're Getting To Be A Rabbit With Me,Allan Sherman,2023-01-28
Your Mother's Here To Stay,Allan Sherman,2023-05-13
Scotch and/or Water,Allan Sherman [heard vaguely in background during above],1980-07-27
Sarah Jackman,Allan Sherman & Christine Nelson,1993-02-28
The End Of A Symphony,Allan Sherman & The Boston Pops Orchestra,1979-07-15
Let's Talk About The New Album!,Allan Sherman & You (interviewed by Dr. Demento),1988-03-27
I Can't Dance,Allan Sherman w/ Debbie Bush,1993-03-07
A Satchel And A Seck,Allan Sherman w/ Sylvia Froos,1975-08-24
The End Of A Symphony,Allan Sherman w/ The Boston Pops Orchestra,1992-03-22
Beethoven's Fifth Cha-Cha-Cha,Allan Sherman w/ The Boston Pops Orchestra conducted by Arthur Fiedler,1983-06-26
The End Of A Symphony,Allan Sherman w/ The Boston Pops Orchestra conducted by Arthur Fiedler,1988-10-23
The End Of A Symphony - Part 1,Allan Sherman w/ The Boston Pops Orchestra conducted by Arthur Fiedler,1998-08-02
Ballad Of The Camping Woodcutters,Allen & Grier,1979-01-21
Basketball Bill,Allen & Grier,1982-03-28
Celebrities Cake Walk,Allen & Grier,1973-11-18
Earth Angel,Allen & Grier,1980-12-14
Grapefruit,Allen & Grier,1979-07-29
Hippety Hop,Allen & Grier,1997-07-27
Hippity Hop,Allen & Grier,1989-11-26
Hyena Baby,Allen & Grier,1981-04-19
Snoot Full Of Snow,Allen & Grier,1996-09-22
Snootful Of Snow,Allen & Grier,1983-05-15
Teenage Mother,Allen & Grier,1982-08-08
A New Salty Dog,Allen Bros.,1974-08-11
Jake Walk Blues,Allen Brothers,1988-11-27
Maybe Next Week Sometime,Allen Brothers,1972-10-01
Please Pay In Advance,Allen Brothers,1982-01-17
Salty Dog,Allen Brothers,1976-07-25
There's Something In The Lake,Allen Foster,2000-09-03
Do The Meditation Rock,Allen Ginsberg,1994-09-25
Put Down Your Cigarette Rag,Allen Ginsberg,1992-01-05
Put Down Yr Cigarette Rag,Allen Ginsberg,1995-01-08
Birdbrain,Allen Ginsberg w/ The Gluons,2014-07-26
The Donkey Serenade,Allen Jones,1971-07-11
Johnny Podres Has A Halo Around His Head,Allen Swift,1974-08-04
Gall In The Family Fare,"Allen Swift, Pat Bright, Herb Duncan",1978-04-09
Ave Maria,Allesandro Moreschi,1998-08-02
Fish Heads,Alliance,1990-05-20
Detergent,Allied Force,1982-06-06
Rosh Hashanah,Allied Force,1982-02-28
Plastic Jesus,Allison Young & Josh Turner,2023-03-04
Skating,Allison Young & Joshua Lee Turner,2022-12-10
When I'm With You (Christmas Every Day),Allison Young & Joshua Lee Turner,2022-12-10
Where Will The Dimple Be,Alma Cogan,1979-12-02
Talking Union,Almanac Singers,1982-09-05
I Lithp (Exthept When I Thay Ithaca),Alonzo & Oscar,1974-08-18
Wienie Wienie,Alpenzusjes,2023-03-04
Speed,Alpha Team,1996-06-02
My Son Is A Freak,Alsen Naylor,1989-06-18
Ballad Of Ernest Angely,Altar Boys,1980-11-23
Space,altered by Tim Farson,1977-05-22
The Worst Record Ever Made,Althea & The Memories,2015-01-24
Grandmom Forgot To Brine The Bird,Alton Brown,2016-11-19
A Fella In A White Coat,Alvin & The Squirrels,2019-11-09
Nyquil Blues,Alvin Crow,1989-09-17
Nyquil Blues,Alvin Crow & The Pleasant Valley Boys,1991-03-17
Something You Got,Alvin Robinson,1971-05-30
I Wanna Eat Your Pudding,Alvin Wayne,1978-04-16
Sepulveda,Alvino Rey,1981-09-06
St. Louis Blues,Alvino Rey f/  Stringy,2016-07-09
St. Louis Blues,Alvino Rey f/ Stringy the talking steel guitar,2022-05-14
Strip Polka,Alvino Rey/Four King Sisters,1977-10-02
I Wanna Eat Your Puddin',Alvis Wayne,1993-11-07
I Wanna Eat Your Pudding,Alvis Wayne,1998-06-28
Queen Of Hearts vs Wicked Witch: Princess Rap Battle,"Alyssa Preston, Whitney Avalon",2022-03-05
Know Your Doctors,Amanda Cohen,2025-09-13
My Bonnie Lass She Smelleth (from  The Triumphs Of Thusnelda  S. 1601),Amateur Musica Antiqua of Hoople (P.D.Q. Bach w/ Professor Peter Schickele),1998-08-02
Masochism Tango 2008,Amateur Transplants,2014-09-20
Woodstock,Amazing Onionheads,1995-02-12
If They Ever Had An Income Tax On Love,Ambrose,1975-11-02
The Pig Got Up And Slowly Walked Away,Ambrose & his band,1975-09-07
Adolf,Ambrose & His Orchestra,1991-12-05
I Don't Want To Go To Bed,Ambrose & His Orchestra,1974-06-09
Let's All Sing Like The Birdies Sing,Ambrose & His Orchestra,1978-02-12
The King's Navee,Ambrose & His Orchestra,1976-08-22
We Are The King's Navy,Ambrose & His Orchestra,1972-05-07
Rappin' With Ronnie,American Comedy Network,1989-01-15
It Ain't Just Peanuts At The Top,American Dream,1978-09-17
Crossing The Grand Sierras,American Music Consort,1976-05-30
Kingdom Comin',American Music Consort,1976-07-04
On The 5:15,American Quartet,1983-06-26
The Naughty Lady Of Shady Lane,Ames Brothers,1992-09-27
I Ain't Gonna Grieve,Amiee Semple McPherson,1972-10-08
North Dakota Bois,Ammon Miller & Portable Pancreas,2010-08-28
"Asteroid, Asteroid",Amoeba People,2021-08-28
Cassini Divebomb,Amoeba People,2017-05-06
Robotic Christmas Tree,Amoeba People,2014-12-13
At The Bull Fight,Amos & Andy,1976-10-31
The Dairy,Amos & Andy,2020-01-25
The Presidential Election,Amos & Andy,1980-08-31
French Fried Potatoes And Ketchup,Amos Milburn,2020-02-29
I Done Done It,Amos Milburn,1984-09-02
"One Scotch, One Bourbon, One Beer",Amos Milburn & His Aladdin Chickenshackers,2012-09-15
The Blues,Amusia,2020-09-26
Amy's Answering Machine: Amila Goes To Washington,Amy Borkowsky,2001-02-25
Amy's Answering Machine: Motor Vehicles,Amy Borkowsky,2001-02-25
Amy's Answering Machine: Red Robe,Amy Borkowsky,2001-02-25
DoneKirk,Amy Engelhardt,2018-07-07
Fluffy's Master Plan For World Domination 2.0,Amy Engelhardt,2020-11-28
How Did This Thing Get In Me,Amy Engelhardt,2021-12-18
St. Nick Dick Pic,Amy Engelhardt,2020-12-05
How Did This Thing Get In Me,Amy Engelhardt f/ Harry Shearer,2020-12-19
Schweddy Balls,"Ana Gasteyer, Molly Shannon, & Alec Baldwin",2019-12-21
Andre Antunes Goes Heavy Metal On Kenneth Copeland & COVID-19,Andre Antunes,2021-01-30
Chant Of The Weed,Andre Kostelanetz,1977-03-13
Delirium In Hi-Fi,Andre Popp,2018-08-11
La Polka Du Colonel,Andre Popp,2017-02-04
Bacon Fat,Andre Williams,1988-02-14
Cadillac Jack,Andre Williams,1972-03-12
Going Down To Tijuana,Andre Williams,1973-12-24
Jail Bait,Andre Williams,1994-03-27
Pass The Biscuits Please,Andre Williams,2017-09-09
A Little Soup In G Minor,Andrea Marcovicci & Pendleton Brown,1982-08-22
Fat Aunt Bette,Andrea Perry,2009-12-13
The Things We Do On Sunday,Andrea Re & Clouds,1982-11-14
Golden Fluffy Loaves Of Love,Andrew & Aaron,2018-06-23
Johnny Sprocket,Andrew & Aaron,2002-07-07
A Delightful Little Bomb,Andrew Ableson (from  Beastly Bombing ),2010-06-12
A Hoosier In Paris,Andrew Calhoun,2018-06-23
Born A Chicken,Andrew Calhoun,2013-06-29
Folksingers Are Boring,Andrew Calhoun,1996-09-15
O.K. For Radio,Andrew Dice Clay,1989-06-11
The Attitude (edit)/L.A./Makin' Money/All You Can Eat/Doctors And Nurses (edit),Andrew Dice Clay,1989-06-11
In Our Haunted House,Andrew Gold,2001-10-21
The Creature From The Tub,Andrew Gold,1999-10-24
Don't Forget Your Fans,Andrew Kerr,2002-02-03
Da Doo Ron Ron,Andrew Loog Oldham Orchestra,1980-09-28
Bob Dylan's 300 Game,Andrew Lorand,2025-04-26
Bob Dylan's 300 Game,Andrew Lorand & Preston Gould,1996-09-01
L. Gaga,Andrew Norelli,2012-02-18
Bobby Says,Andrew Smith,2020-06-27
Accentuate The Positive,Andrews Sisters,1974-12-01
Avocado,Andrews Sisters,1977-07-31
Azusa,Andrews Sisters,1985-08-11
"Beat Me, Daddy, Eight To The Bar",Andrews Sisters,1979-03-04
Beer Barrel Polka,Andrews Sisters,1985-03-03
Bei Mir Bist Du Sch&ouml;n (Means That You're Grand),Andrews Sisters,2016-11-05
Boogie Woogie Bugle Boy,Andrews Sisters,1991-12-05
"Bounce Me, Brother, With A Solid Four",Andrews Sisters,1972-12-03
Christmas Island,Andrews Sisters,1971-12-25
Coffee Song,Andrews Sisters,1988-04-24
Her Bathing Suit Never Got Wet,Andrews Sisters,1975-02-16
Hold Tight (Want Some Seafood Mama),Andrews Sisters,1990-07-08
"Hold Tight, Hold Tight",Andrews Sisters,1994-10-16
Mister Five By Five,Andrews Sisters,2021-07-10
One Meat Ball,Andrews Sisters,1974-03-24
Pistol-Packin' Mama,Andrews Sisters,1972-12-10
Rum And Coca Cola,Andrews Sisters,1982-11-28
Run And Coca Cola,Andrews Sisters,1976-02-29
Six Jerks In A Jeep,Andrews Sisters,1988-10-02
Strip Polka,Andrews Sisters,2021-05-01
Ti-pi-tin,Andrews Sisters,1974-02-03
Bei Mir Bist Du Schon,Andrews Sisters [1937],1974-06-16
"Money Is The Root Of All Evil (Take It Away, Take It Away, Take It Away)",Andrews Sisters & Guy Lombardo & His Royal Canadians,2016-02-20
I Didn't Know The Gun Was Loaded,Andrews Sisters w/ Vic Schoen & His Orchestra,2024-08-17
Draw A Smile On A Paper Plate,Andy  Live From Brakingham Palace  Merrill,2020-12-26
Andy The Dentist,Andy  Thunderclap  Newman,1987-02-15
Sandy The Dentist,Andy  Thunderclap  Newman,1980-10-26
Give A Hoot,Andy Allen,2010-05-02
50 Famous Parental Sayings,Andy Andrews,2018-04-07
Pins,Andy Andrews,1981-09-13
Don't Get Killed,Andy Breckman,1997-03-30
Railroad Bill,Andy Breckman,2013-03-23
So Far So Good,Andy Breckman,1997-10-12
Big Hawaiians,Andy Bumatai,1988-01-17
Gunga Din,Andy Cory,1975-10-19
"Hey You, What Are You, Some Kind Of Nut?",Andy Cory,2011-03-19
Me Name It Is Jingles,Andy Devine,1983-12-11
Hot Poop,Andy Fairweather-Low,2017-04-22
request,"Andy Garcy(sp?) from Gary, IN",1984-08-12
Conversation With A Mule,Andy Griffith,2017-03-25
Love Poems:  To The Lovely Juanita Beasley,Andy Griffith,1998-02-08
Love Poems:  Togetherness,Andy Griffith,2025-02-08
Make Yourself Comfortable,Andy Griffith,1988-08-07
Molly Darlin',Andy Griffith,1998-06-07
No Time For Sergeants,Andy Griffith,1992-06-14
"North Carolina, My Home State",Andy Griffith,2016-07-16
Pool Table,Andy Griffith,1988-08-14
Precious Memories,Andy Griffith,2012-07-07
Romeo And Juliet,Andy Griffith,1974-09-22
The Fishin' Hole,Andy Griffith,1999-07-11
To The Lovely Juanita Beasley,Andy Griffith,1989-02-12
"What It Was, Was Football",Andy Griffith,1996-11-17
Whoa Mule,Andy Griffith et al.,2012-07-07
Ko Ko Mo (I Love You So),Andy Griffith w/ Orchestra Conducted by Burt Massengale,2011-04-30
Whoa Mule,Andy Griffith w/ The Country Boys,2017-05-20
The Preacher And The Bear,Andy Griffth,2024-11-16
O. I. L.,Andy Gross,1981-03-29
Hawaiian War Song,Andy Iona & Islanders,1974-04-28
Andy Is Making A Record,Andy Kaufman,2014-07-19
Andy Is Making A Record/Andy And His Grandmother,Andy Kaufman,2013-08-17
I Trusted You,Andy Kaufman,2023-11-18
Love Me/Blue Suede Shoes,Andy Kaufman,2013-11-09
Casey Jones Special,Andy Kirk & His 12 Clouds Of Joy,1976-07-25
All The Jive Is Gone,Andy Kirk & His Orchestra f/ Pha Terrell,1974-02-17
All The Jive Is Gone,Andy Kirk & His Twelve Clouds Of Joy,1980-03-23
Jimmy Durante's Christmas Song (Escape),Andy Merrill,2020-12-26
Santa Claus Is A Brak Man,Andy Merrill,2021-12-18
Fission Blues,Andy Nookes,1982-10-31
Cellular Sam,Andy Olson,1995-06-11
Psychedelic Baby Box,Andy Olson,1982-01-24
Miniatures,Andy Partridge,1980-11-09
The History Of Rock And Roll,Andy Partridge,1988-10-09
New York Debut Of An L.A. Artist,Andy Prieboy,1990-10-07
Monsters In The Closet,Andy Robinson,1982-05-02
Stuck Here With Hillary,Andy Simmons,2016-07-23
Thanksgiving Apocalypse,Andy Sloan,2024-11-23
Candice,Andy Smith,2013-03-23
"No Pajamas Tonight, Josephine",Andy Smith,2013-04-20
"Donald, Where's Your Trousers?",Andy Stewart,1992-01-19
L. A. Bells,Andy Wolmering,1989-12-24
Fake ID,Anemic Boyfriends,1981-11-22
Guys Are Not Proud,Anemic Boyfriends,1980-07-20
Beaver Cleaver Fever,Angel & The Reruns,1986-01-19
Buffy Come Back,Angel & The Reruns,1998-03-29
Andrew Cunanan,"Angela Douglas, Transvestite",1997-11-23
A Little Priest,Angela Lansbury & Len Cariou,1981-08-23
My Eyes Are Fully Open To My Awful Situation (Ruddigore),"Angela Lansbury, Rex Smith, & Kevin Klein",2023-01-14
A Little Marijuana,Angelo Povance & Pounds Of Sound,1975-12-14
The Monster Machine Attacks And Kills The Tap Dancers,Angels Of Light,2010-05-29
Dance We Dance,Angie Jarre,1988-08-28
Southern Whoopee Song,Anglin Bros.,1973-01-28
Earthquake Shake,Angry Surfers,1988-07-24
Jingle Hell,Angry Young Grandparents,1995-11-12
food fight,Animal House,1982-03-07
A Quake! A Quake!,Animaniacs,2019-01-26
Be Careful What You Eat,Animaniacs,1999-02-28
I Am The Very Model Of A Cartoon Individual,Animaniacs,1999-02-28
Noel,Animaniacs,2022-12-24
The Catch-Up Song,Animaniacs,2025-05-03
The Monkey Song,Animaniacs,2024-03-30
The Senses,Animaniacs,1999-02-28
Yakko's Universe,Animaniacs,2020-09-19
Yakko's World,Animaniacs,2025-01-18
I Am The Very Model Of A Cartoon Individual,Animaniacs TV Soundtrack,1995-09-10
Little George (Got The Hiccoughs),Anita Bryant,2025-03-08
My Cup Runneth Over,Anita Bryant,1977-06-26
Paper Roses,Anita Bryant,1978-09-24
Six Boys And Seven Girls,Anita Bryant [w/ v/o throughout],1977-10-30
The Secret Service,Anita Gillette,2012-04-28
Momisms,Anita Renfroe,2021-11-13
The Farm Song,Anivoc,1974-07-21
Student's March Song,Ann Blyth,1974-06-30
Who's Afraid Of The Big Bad Wolf,Ann Ronell,2019-10-05
Breaking Into Radio (Horizontally),Ann Shelton,1975-01-26
The Son-Of-A-Gun Who Picks On Uncle Sam,"Ann Sothern, Virginia O'Brien, Ben Blue, Red Skelton, Rags Ragland",1988-07-03
The Son-Of-A-Gun Who Picks On Uncle Sam,Ann Southern et al.,1988-07-03
Rapping With The Witch,Ann-dee,2018-10-27
Wicked Halloween Rumble,Ann-dee,2014-10-18
The Fish Wrap,Anna & The Apocalypse,2019-06-08
If Somebody Told You,Anna King,1971-09-05
Coloratura Aria  Canto Dolciamente Pipo,Anna Russell,2011-01-22
Contemporary music for tone-deaf singers: My Heart Is Red,Anna Russell,1983-09-18
Dripping With Gore,Anna Russell,1975-03-23
